index,slice_file_name,ID,fold,Label
7079,101729-0-0-1.wav,101729-0-0-1,9,False
7080,101729-0-0-11.wav,101729-0-0-11,9,False
7081,101729-0-0-12.wav,101729-0-0-12,9,False
7082,101729-0-0-13.wav,101729-0-0-13,9,False
7083,101729-0-0-14.wav,101729-0-0-14,9,False
7084,101729-0-0-16.wav,101729-0-0-16,9,False
7085,101729-0-0-17.wav,101729-0-0-17,9,False
7086,101729-0-0-18.wav,101729-0-0-18,9,False
7087,101729-0-0-19.wav,101729-0-0-19,9,False
7088,101729-0-0-21.wav,101729-0-0-21,9,False
7089,101729-0-0-22.wav,101729-0-0-22,9,False
7090,101729-0-0-23.wav,101729-0-0-23,9,False
7091,101729-0-0-24.wav,101729-0-0-24,9,False
7092,101729-0-0-26.wav,101729-0-0-26,9,False
7093,101729-0-0-28.wav,101729-0-0-28,9,False
7094,101729-0-0-29.wav,101729-0-0-29,9,False
7095,101729-0-0-3.wav,101729-0-0-3,9,False
7096,101729-0-0-32.wav,101729-0-0-32,9,False
7097,101729-0-0-33.wav,101729-0-0-33,9,False
7098,101729-0-0-36.wav,101729-0-0-36,9,False
7099,101729-0-0-37.wav,101729-0-0-37,9,False
7100,101729-0-0-38.wav,101729-0-0-38,9,False
7101,101729-0-0-39.wav,101729-0-0-39,9,False
7102,101729-0-0-4.wav,101729-0-0-4,9,False
7103,101729-0-0-40.wav,101729-0-0-40,9,False
7104,101729-0-0-6.wav,101729-0-0-6,9,False
7105,101729-0-0-9.wav,101729-0-0-9,9,False
7106,103249-5-0-0.wav,103249-5-0-0,9,False
7107,103249-5-0-1.wav,103249-5-0-1,9,False
7108,103249-5-0-10.wav,103249-5-0-10,9,False
7109,103249-5-0-11.wav,103249-5-0-11,9,False
7110,103249-5-0-12.wav,103249-5-0-12,9,False
7111,103249-5-0-13.wav,103249-5-0-13,9,False
7112,103249-5-0-14.wav,103249-5-0-14,9,False
7113,103249-5-0-15.wav,103249-5-0-15,9,False
7114,103249-5-0-16.wav,103249-5-0-16,9,False
7115,103249-5-0-17.wav,103249-5-0-17,9,False
7116,103249-5-0-18.wav,103249-5-0-18,9,False
7117,103249-5-0-19.wav,103249-5-0-19,9,False
